Headline,Slug,Summary,Author,Category,Tags,Published,PublishedAt,Source
"Open Source Runtime Reaches 1.0","open-source-runtime-reaches-1-0","A widely used open source runtime has reached a stable 1.0 release after three years of development.","Jane Smith","Technology","open-source,runtime,developer-tools","true","2024-03-15T09:00:00Z","Tech Daily"
"City Council Approves New Infrastructure Plan","city-council-approves-infrastructure-plan","The city council voted 7-2 in favour of a $400 million infrastructure renewal programme.","Carlos Mendez","Politics","infrastructure,city-council,urban-planning","true","2024-03-14T14:30:00Z","City Tribune"
"Local Football Club Signs Record Deal","local-football-club-record-deal","Riverside FC announced a record sponsorship agreement worth $12 million over three seasons.","Emma Wilson","Sports","football,sponsorship,riverside-fc","true","2024-03-13T11:00:00Z","Sports Weekly"
"Scientists Discover New Deep-Sea Species","scientists-discover-deep-sea-species","Marine biologists have identified 12 previously unknown species during an expedition to the Pacific Ocean floor.","Dr. Liu Wei","Science","marine-biology,ocean,discovery","true","2024-03-12T08:45:00Z","Science Now"
"Renewable Energy Production Hits Record High","renewable-energy-record-high","Solar and wind generation exceeded coal output for the first time in the nation's history.","Sarah Johansson","Environment","renewable-energy,solar,wind,climate","true","2024-03-11T16:00:00Z","Green Report"
"New Programming Language Gains Traction","new-programming-language-traction","A statically typed language designed for systems programming has attracted over 50 000 GitHub stars in its first year.","Alex Turner","Technology","programming,language,systems","true","2024-03-10T13:15:00Z","Dev Weekly"
"Central Bank Raises Interest Rates Again","central-bank-raises-interest-rates","The central bank announced a 25-basis-point increase citing persistent inflation pressures.","Maria Gonzalez","Finance","central-bank,interest-rates,inflation","true","2024-03-09T10:00:00Z","Financial Times"
"National Museum Opens New Wing","national-museum-opens-new-wing","The new contemporary art wing opens to the public after a two-year renovation costing $80 million.","Tom Eriksson","Culture","museum,art,culture","true","2024-03-08T18:00:00Z","Arts Journal"
"Electric Vehicle Sales Surge 40 Percent","electric-vehicle-sales-surge","New registration data shows EV sales grew 40% year-on-year driven by lower battery costs.","Priya Nair","Technology","electric-vehicles,ev,automotive","true","2024-03-07T09:30:00Z","Auto Report"
"Study Links Screen Time to Sleep Quality","screen-time-sleep-quality-study","A longitudinal study of 10 000 participants found significant correlation between evening screen use and reduced sleep quality.","Dr. James Lee","Health","health,screen-time,sleep,research","true","2024-03-06T07:00:00Z","Health Journal"
"Start-up Raises $50M Series B","startup-raises-50m-series-b","An enterprise software start-up closed a $50 million Series B round led by a major venture capital firm.","Nina Patel","Business","startup,venture-capital,funding","false","","Tech Crunch"
"Annual Climate Conference Begins","annual-climate-conference-begins","World leaders convene for the annual climate summit to review progress on emissions reduction commitments.","Omar Hassan","Environment","climate,conference,emissions","true","2024-03-05T08:00:00Z","World News"
